CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
5372201,EXECUTIVE PARK,BLVD,94134,10,N,DPW,Bayview Heights,STREETS,5372201,EXECUTIVE PARK BLVD,EXECUTIVE PARK BLVD fr:THOMAS MELLON DR to:BLANKEN AVE,17875,Bayview Heights,6013918.911,2087032.884
5372101,EXECUTIVE PARK,BLVD,94134,10,N,DPW,Bayview Heights,STREETS,5372101,EXECUTIVE PARK BLVD,EXECUTIVE PARK BLVD fr:THOMAS MELLON DR to:BLANKEN AVE,26935,Bayview Heights,6013917.244,2086998.245
7160000,IGNACIO,AVE,94124,10,N,,Bayview Heights,PAPER,7160000,IGNACIO AVE,IGNACIO AVE fr:IGNACIO AVE to:JAMESTOWN AVE,8754,Bayview Heights,6015419.66,2088271.316
8920000,MCKINLEY,AVE,94134,10,N,,Visitacion Valley,Paper_fwys,8920000,MCKINLEY AVE,MCKINLEY AVE fr:START: 1-99 BLOCK to:GILLETTE AVE,625,Visitacion Valley,6013171.425,2087531.083
2992000,BLANKEN,AVE,94134,10,N,,Bayview Heights,STREETS,2992000,BLANKEN AVE,BLANKEN AVE fr:GILLETTE AVE to:EXECUTIVE PARK BLVD,7695,Bayview Heights,6013354.64,2086877.817
5596000,FITZGERALD,AVE,94124,10,N,DPW,Bayview District,STREETS,5596000,FITZGERALD AVE,FITZGERALD AVE fr:EARL ST to:ARELIOUS WALKER DR,53178,Bayview District,6016543.66,2089124.454
5595000,FITZGERALD,AVE,94124,10,N,DPW,Bayview District,STREETS,5595000,FITZGERALD AVE,FITZGERALD AVE fr:DONAHUE ST to:EARL ST,52781,Bayview District,6017074.603,2088728.644
7426000,JAMESTOWN,AVE,94124,10,N,DPW,Bayview Heights,STREETS,7426000,JAMESTOWN AVE,JAMESTOWN AVE fr:IGNACIO AVE to:GILROY ST,36903,Bayview Heights,6015273.672,2088364.975
7428000,JAMESTOWN,AVE,94124,10,N,DPW,Bayview Heights,STREETS,7428000,JAMESTOWN AVE,JAMESTOWN AVE fr:GRIFFITH ST to:CORONADO ST,32804,Bayview Heights,6014918.641,2088892.363
7427000,JAMESTOWN,AVE,94124,10,N,DPW,Bayview Heights,STREETS,7427000,JAMESTOWN AVE,JAMESTOWN AVE fr:GILROY ST to:GRIFFITH ST,26763,Bayview Heights,6015099.493,2088640.28
5373201,EXECUTIVE PARK,BLVD,94134,10,N,DPW,Bayview Heights,STREETS,5373201,EXECUTIVE PARK BLVD,EXECUTIVE PARK BLVD fr:EXECUTIVE PARK BLVD to:THOMAS MELLON DR,14921,Bayview Heights,6014487.281,2086983.602
